quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
210173003,JAB MERINO VEST,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,AW21N,Automatic,M,12,704,83,3,37,43,0,3,203,186,Merino Liquid Stretch,35,230,182,249,452,-9,-39,222,3,N
210173004,JAB MERINO VEST,Joseph A. Bank Mfg. Co Inc Retail Warehouse Gents,AW21N,Automatic,M,12,637,83,3,37,43,0,3,283,186,Merino Liquid Stretch,35,307,252,329,544,-4,-24,237,3,N
210178601,FULL ZIP HOODY,Kenneth Cole Awear (KCA) Gents,AW21N,Automatic,M,12,"11,800",83,2,82,90,17,5,517,454,Merino Wash,28,556,440,594,932,6,55,377,2,Y
210165720,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,12,"1,911",89,1,89,70,3,6,382,347,Normal Wash Supersoft,17,170,120,170,535,22,116,365,2,Y
210165721,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,10,"10,255",89,1,53,39,0,5,451,410,Normal Wash Supersoft,17,179,127,179,459,30,136,280,3,Y
210059803,ARCHER,Cape Union Mart Old Khaki Gents,AW21S,Automatic,S,12,"4,500",83,2,50,39,1,5,280,260,Tropical Dye,130,115,42,128,421,25,105,306,3,Y
210053402,T20.855,Woolworths (Pty) Ltd Mainstream Ladies,AW21S,Automatic,M,12,"3,600",83,2,68,33,0,5,234,198,Normal Wash Soft,28,99,48,99,237,-31,-74,138,1,N
210057302,PLM 6510 CABLE CREW NK,Woolworths W-Collection Gents,AW21S,Automatic,S,12,"3,900",83,2,58,33,0,5,285,253,Normal Wash Soft,28,178,132,178,484,21,100,306,3,Y
210075621,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"50,114",90,1,73,30,0,5,283,257,Enzyme Wash,16,101,60,110,187,-17,-32,87,1,N
210075622,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"24,408",90,1,69,34,4,5,272,247,Enzyme Wash,16,100,58,110,197,-20,-38,97,1,N
210075623,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"3,962",90,2,58,29,0,6,153,139,Enzyme Wash,16,72,35,80,144,-50,-72,72,1,N
210075624,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"2,478",90,2,61,32,8,6,150,136,Enzyme Wash,16,73,34,82,155,-83,-129,82,1,N
210043409,PELAGA SS21 -Repeat 4400pces,Devred SAS Gents,SS21N,Hand Flat,S,12,"4,400",90,1,76,35,3,5,260,240,Normal Wash Soft,10,119,79,119,265,5,14,146,1,Y
200106607,MKC756 & L,Glenmuir Gents,SS20N,Hand Flat,S,12,124,90,3,72,32,11,5,311,283,Normal Wash Supersoft,17,247,169,247,646,4,29,400,3,Y
200106608,MKC756 & L,Glenmuir Gents,SS20N,Hand Flat,S,10,154,90,3,56,28,3,5,454,413,Normal Wash Supersoft,17,294,241,294,559,-4,-22,264,3,N
200106609,MKC756 & L,Glenmuir Gents,SS20N,Automatic,S,10,104,89,4,38,39,11,5,481,437,Normal Wash Supersoft,17,315,247,315,716,6,46,401,4,Y
200106610,MKC756 & L,Glenmuir Gents,SS20N,Automatic,S,10,204,89,4,46,35,10,5,407,370,Normal Wash Supersoft,17,287,209,287,728,10,72,441,5,Y
200106611,MKC756 & L,Glenmuir Gents,SS20N,Automatic,S,10,310,89,4,54,37,10,5,407,370,Normal Wash Supersoft,17,282,209,282,716,4,29,434,4,Y
200106612,MKC756 & L,Glenmuir Gents,SS20N,Hand Flat,S,10,102,90,3,62,32,4,5,366,333,Normal Wash Supersoft,17,231,185,231,531,-3,-17,300,3,N
210071601,AH1969,Lacoste Gents SPW,AW21N,Automatic,C,14,279,83,5,50,48,2,5,344,325,Merino Wash,28,706,546,706,770,-60,-462,64,1,N
210090201,A-1004,AWAY GENTS,AW21N,Automatic,C,12,"1,000",83,5,31,3,0,3,283,283,Cashmere Wash,40,"1,362","1,277","1,451","1,698",8,133,336,9,Y
210084101,EP852,Rodd & Gunn N Gents,SS21N,Automatic,M,10,"4,500",83,2,72,70,16,6,550,509,Normal Wash Soft,28,512,423,742,961,14,136,449,3,Y
200234224,BC S202,Betty Barclay Gents,AW20N,Automatic,S,12,"2,643",89,2,67,46,10,7,250,227,Normal Wash Supersoft,17,203,104,203,536,4,21,333,3,Y
200234225,BC S202,Betty Barclay Gents,AW20N,Automatic,S,10,"1,200",89,4,50,33,0,6,484,440,Normal Wash Supersoft,17,210,157,210,613,10,64,403,5,Y
210077101,SS  TEE,Moss Bros Gents,SS21N,Automatic,M,14,608,83,5,51,46,0,5,236,225,Normal Wash Supersoft,28,292,237,313,691,-19,-132,400,4,N
210042501,LUKE,POLO Gents,AW21S,Hand Flat,C,12,"1,725",93,2,80,27,4,5,315,310,Piece Dye Cotton,130,132,47,203,613,31,191,481,4,Y
210075619,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,10,"6,200",90,2,57,23,3,5,418,380,Normal Wash Soft,10,168,126,186,342,11,37,174,2,Y
210154801,HS-UVCOL VEE,Stockomani - Gents,AW21N,Hand Flat,S,7,"4,800",90,2,46,28,1,6,325,321,Normal Wash Supersoft,17,287,235,287,496,17,82,209,3,Y
210154901,HS-UZIP (HCN ZIP),Stockomani - Gents,AW21N,Hand Flat,S,7,"4,660",90,2,50,33,8,6,380,0,Normal Wash Supersoft,17,343,272,343,646,24,153,304,3,Y
210155101,HS-CAMNEW (HCN BUTTONS),Stockomani - Gents,AW21N,Hand Flat,S,7,"4,940",90,2,51,33,7,6,390,0,Normal Wash Std,10,348,287,348,646,23,149,299,3,Y
210155201,TN CABLE-UBERT,Stockomani - Gents,AW21N,Automatic,S,7,"3,990",89,2,69,33,1,5,356,325,Normal Wash Soft,10,349,256,349,656,18,120,307,3,Y
210136902,QPMOUNTAIN,Devred SAS Gents,AW21N,Automatic,S,7,"4,100",83,2,38,29,0,5,300,,Heavy Garment Wash,40,308,249,308,498,7,35,190,3,Y
210165725,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,10,"9,733",89,1,45,34,4,5,462,420,Normal Wash Supersoft,17,209,129,209,515,34,175,306,3,Y
200187315,MEN'S SWEA,Tesco Getns,AW20N,Hand Flat,S,14,"1,300",90,3,97,32,4,6,307,279,Merino Anticockle + Moth Repellent,47,365,293,365,635,-25,-161,270,2,N
200187316,MEN'S SWEA,Tesco Getns,AW20N,Hand Flat,S,14,"1,300",90,3,94,31,0,6,288,262,Merino Anticockle + Moth Repellent,47,341,272,341,578,-29,-169,237,2,N
210152401,HG-UCOLERE21H (HCN buttons),Stockomani - Gents,AW21N,Hand Flat,S,12,"2,250",90,2,61,35,5,6,260,266,Cashmere Wash,40,"1,191","1,069","1,191","1,639",14,236,448,4,Y
210089802,MKM.047,Markham Gents,AW21S,Hand Flat,S,12,"5,300",95,2,106,40,0,5,247,285,Normal Wash Soft,28,153,113,193,303,-35,-107,150,1,N
210165717,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,10,"13,927",89,1,58,43,3,6,421,383,Normal Wash Supersoft,17,170,119,170,459,27,126,289,3,Y
210165718,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,10,"11,672",89,1,40,31,5,5,349,317,Normal Wash Supersoft,17,147,98,147,419,36,150,272,3,Y
210075626,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"3,800",90,2,78,36,8,7,287,261,Merino Wash,10,425,333,465,762,18,138,337,3,Y
210075606,GENTS V &,Dunnes Stores Gents,SS21N,Automatic,S,12,"3,500",89,2,82,65,13,6,392,356,Normal Wash Supersoft,17,166,83,188,408,-15,-61,241,1,N
210075607,GENTS V &,Dunnes Stores Gents,SS21N,Hand Flat,S,12,"7,001",90,2,61,34,8,6,376,342,Normal Wash Std,10,158,99,177,353,7,26,195,2,Y
210096001,T20.871,Woolworths (Pty) Ltd Mainstream Ladies,SS21S,Automatic,M,14,"9,200",83,2,61,35,0,10,232,202,Piece Dye Cotton + Enzyme,145,110,33,110,304,-6,-19,193,2,N
