quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
180092901,ELK148,The Edinburgh Woollen Mill Limited Ladies,AW18N,Hand Flat,M,7,"7,897",95,2,59,27,14,5,352,305,Normal Wash Supersoft,15,190,119,225,313,-15,-48,123,1,N
180093001,ELK851,The Edinburgh Woollen Mill Limited Ladies,AW18N,Hand Flat,M,7,"18,398",95,1,52,28,0,5,319,289,Normal Wash Supersoft,15,157,108,189,284,7,20,127,2,Y
180093101,ELK852,The Edinburgh Woollen Mill Limited Ladies,AW18N,Automatic,M,7,"18,401",89,2,40,28,0,5,315,287,Normal Wash Supersoft,15,156,106,186,276,2,7,121,2,Y
180093301,ELK853,The Edinburgh Woollen Mill Limited Ladies,AW18N,Automatic,M,7,"7,899",89,2,37,36,6,5,363,301,Normal Wash Supersoft,15,189,122,222,302,-13,-39,113,1,N
180101001,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"95,900",95,1,83,28,0,5,267,,Normal Wash Std,39,98,61,98,250,4,9,152,1,Y
180101002,FMR CONVER,FMRC-BERNARD,AW18S,Automatic,S,12,"1,507",89,2,96,33,5,5,275,,Normal Wash Std,28,252,165,297,653,9,61,401,3,Y
180101003,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"3,012",95,2,91,42,5,5,270,276,Merino Anticockle,35,327,269,385,775,25,195,448,3,Y
180101004,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"31,200",95,1,84,31,4,5,235,,Normal Wash Std,28,93,58,93,254,3,9,161,1,Y
180072201,REF BOUILL,Monoprix Exploitation Gents,AW18N,Hand Flat,S,10,"1,695",95,2,53,27,0,5,360,360,Felted Finish,40,330,274,342,585,11,64,256,3,Y
180080101,T20.683,Woolworths (Pty) Ltd Mainstream Ladies,AW18S,Automatic,M,12,"1,000",89,5,71,23,0,5,316,259,Piece Dye Acrylic,70,128,62,128,281,-129,-363,153,2,N
180088801,CREW NECK PULLOVER,Lion Of Porches  Gents,AW18N,Automatic,M,12,"5,100",89,2,35,37,1,5,272,251,Machine Wash Supersoft,64,260,193,287,510,15,76,250,3,Y
180111501,CREW NECK PULLOVER,Lion Of Porches  Gents,AW18N,Automatic,M,12,"5,300",89,2,35,37,1,5,272,251,Machine Wash Supersoft,64,219,155,242,436,10,43,217,3,Y
180111701,18IP232-P210052121,Lion Of Porches  Gents,AW18N,Automatic,M,12,"6,300",89,2,35,37,1,5,271,250,Machine Wash Supersoft,64,219,154,242,436,10,44,218,3,Y
180111901,18IP225-P209052093,Lion Of Porches  Gents,AW18N,Automatic,M,12,"6,400",89,2,39,47,13,5,336,310,Machine Wash Supersoft,64,286,199,316,565,8,48,279,3,Y
180112001,18IM253-M210052043,Decenio-Mediterrano Gents,AW18N,Automatic,M,12,"2,750",89,3,35,37,1,5,268,250,Machine Wash Supersoft,64,217,153,240,436,-6,-27,219,3,N
180112101,18IM254-M209052036,Decenio-Mediterrano Gents,AW18N,Automatic,M,12,"2,150",89,3,39,46,13,5,332,310,Machine Wash Supersoft,64,283,197,313,565,-7,-42,282,3,N
180101044,FMR CONVER,Devred SAS Gents,AW18S,Hand Flat,S,12,"3,950",95,1,75,26,8,5,275,,Normal Wash Soft,15,112,72,112,209,-14,-29,97,1,N
180101045,FMR CONVER,FMRC-BERNARD,AW18S,Hand Flat,S,12,"3,450",95,1,75,26,8,5,275,,Normal Wash Soft,15,118,78,118,228,-7,-17,109,1,N
180046703,Vee-Retail Special,Hackett London Menswear Company Gents,AW18N,Hand Flat,C,7,703,95,4,56,32,21,5,357,310,Normal Wash Supersoft,28,474,359,474,658,-34,-224,185,2,N
180107102,T51.495,Woolworths Classic Collection Knitwear Gents,AW18S,Hand Flat,S,12,"6,000",95,1,83,30,0,5,267,,Normal Wash Soft,45,97,52,97,267,10,26,170,1,Y
180076701,6ZKM1V ZMK,Armani Junior,AW18N,Automatic,M,12,284,89,5,49,30,0,5,200,178,Normal Wash Soft,28,101,51,149,474,-14,-67,374,4,N
180035502,4520M,Marks & Spencer Plc T30 Gents,SS18N,Automatic,M,12,"4,500",89,2,104,30,0,5,339,302,Heavy Garment Wash,40,245,172,245,460,-21,-94,215,2,N
180073101,CARL,Gentleman Farmer Gents,AW18N,Hand Flat,S,7,"3,001",95,2,63,23,1,5,360,345,Felted Finish,40,262,191,283,417,0,0,156,2,Y
180114005,AW18 ORDERS,Mr Blue Gents,AW18N,Automatic,M,7,"1,000",89,2,50,27,2,5,273,258,Normal Wash Soft,28,215,161,236,413,3,12,199,2,Y
180013101,004-SWEATER W/STAND UP,Mr Blue Gents,AW18N,Automatic,M,12,"3,100",89,2,55,30,13,5,300,280,Normal Wash Std,28,256,134,282,505,5,24,250,2,Y
180114901,PV 54,Mr Blue Gents,AW18N,Automatic,M,5,400,89,5,59,29,0,5,403,377,Normal Wash Supersoft,28,283,224,315,604,-27,-163,321,3,N
180115001,PV55,Mr Blue Gents,AW18N,Automatic,M,5,400,89,5,84,40,4,5,487,456,Machine Wash Soft,64,333,244,367,636,-62,-393,302,2,N
180083201,JC-354 COLOURBLOCK,Marks & Spencer Plc T30 Gents,AW18N,Hand Flat,M,10,"2,706",95,2,60,22,0,5,323,298,Machine Wash TEC Supersoft,68,327,252,327,490,-8,-40,163,2,N
180072601,MULTI STRIPE (OPT 1),Marks & Spencer Plc T30 Gents,AW18N,Hand Flat,M,5,"19,662",95,1,48,30,0,5,518,480,Normal Wash Soft,28,311,240,311,508,16,82,197,2,Y
180083001,CREW NECK,Marks & Spencer Plc T30 Gents,AW18N,Automatic,M,5,"21,110",89,2,67,29,0,5,578,530,Normal Wash Soft,28,344,270,344,508,-4,-21,164,2,N
170000905,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Gents,AW17N,Hand Flat,M,12,"1,329",95,3,75,28,12,5,288,269,Normal Wash Soft,28,241,169,241,603,-8,-48,362,3,N
170000906,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Gents,AW17N,Hand Flat,M,12,209,95,3,41,45,0,3,177,163,Normal Wash Soft,28,137,105,137,405,-9,-37,267,3,N
170000907,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Gents,AW17N,Automatic,M,12,821,89,4,39,40,4,5,240,220,Normal Wash Soft,28,199,159,199,493,-8,-39,294,3,N
170001001,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Automatic,M,12,"2,536",89,3,39,42,5,10,363,329,Normal Wash Soft,28,625,563,625,"1,164",22,253,540,6,Y
170001002,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"3,537",95,2,77,40,0,5,216,188,Cashmere Wash,40,875,828,875,"1,126",2,25,251,2,Y
170001003,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,118",95,3,77,40,0,5,216,188,Cashmere Wash,40,"1,028",978,"1,028","1,296",-11,-147,268,2,N
170001004,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"3,782",95,2,87,48,6,5,262,229,Cashmere Wash,40,"1,046",994,"1,046","1,481",11,165,434,3,Y
170001005,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"4,170",95,2,77,33,0,5,216,187,Cashmere Wash,40,863,816,863,"1,144",6,68,281,2,Y
170001006,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,734",95,3,77,33,0,5,216,187,Cashmere Wash,40,"1,023",973,"1,023","1,314",0,0,291,3,N
170001007,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,537",95,3,85,64,7,5,225,199,Cashmere Wash,40,915,858,915,"1,361",3,38,446,3,Y
170001008,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Automatic,M,12,880,89,4,42,39,0,5,278,245,Cashmere Wash,40,"1,114","1,060","1,114","1,538",6,99,424,5,Y
170001009,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,379",95,3,69,30,17,5,273,"2,237",Normal Wash Soft,28,230,162,230,563,-15,-82,333,3,N
190027001,TEXTURED COT CASH RAG CNK,John Lewis Overseas Plc Gents,SS19N,Automatic,C,12,"4,829",89,2,66,35,0,5,391,365,Heavy Garment Wash,40,235,171,235,514,4,21,278,3,Y
190027101,TEXTURED COT CASH VEE,John Lewis Overseas Plc Gents,SS19N,Automatic,C,12,"2,900",89,3,66,38,0,5,390,360,Heavy Garment Wash,40,235,170,235,514,-17,-85,279,3,N
180110801,LSK1217R,Next Retail Limited Gents,AW18N,Hand Flat,M,7,"1,800",95,2,62,33,9,5,506,460,Machine Wash Soft,64,483,385,483,520,-42,-219,37,0,N
180077801,SUP.021,Superbalist Ladies,AW18S,Hand Flat,M,10,300,95,3,46,32,0,5,317,283,Normal Wash Soft,28,66,30,80,367,4,16,301,4,Y
180078001,SUP.023,Superbalist Ladies,AW18S,Automatic,M,7,600,89,5,58,34,0,10,517,461,Normal Wash Soft,28,236,179,250,665,-16,-106,429,4,N
180003403,CHEST STRIPE,Marks & Spencer Plc T30 Gents,AW18N,Automatic,M,10,"6,954",89,2,48,29,0,5,609,540,Normal Wash Std,15,162,108,162,324,3,11,161,2,Y
180090401,TARA LEE LIABILITY YARN,Cape Union Mart Old Khaki Ladies,AW18S,Automatic,M,3.5,525,89,5,43,38,0,10,785,701,Normal Wash Supersoft,28,369,304,383,572,-48,-274,203,2,N
170000804,OLD ORDERS IN FMR,FMR-JULIAN,AW17N,Automatic,C,12,"1,650",89,3,47,48,12,5,319,290,Normal Wash Supersoft,28,215,137,268,567,-2,-9,353,3,N
170001010,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,687",95,3,59,28,0,5,226,201,Normal Wash Soft,28,167,133,167,419,4,17,252,3,Y
170001011,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,229",95,3,104,78,22,5,312,273,Normal Wash Soft,28,257,183,257,730,-33,-238,473,2,N
170001012,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,433",95,3,74,37,0,5,243,215,Normal Wash Soft,28,193,158,193,485,-21,-104,291,3,N
170001013,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,945",95,3,75,40,5,5,242,216,Normal Wash Supersoft,28,201,161,201,553,6,35,352,3,Y
170001014,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,787",95,3,65,45,12,5,249,219,Normal Wash Supersoft,28,210,166,210,524,-1,-6,314,2,N
170001015,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,179",95,3,66,33,0,5,227,203,Normal Wash Supersoft,28,185,150,185,460,-17,-79,275,3,N
170001016,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,"1,637",95,3,45,40,0,3,160,132,Normal Wash Supersoft,28,137,106,137,391,8,31,254,3,Y
170001017,FMR JULIAN OLD SYSTEM,Woolovers Ltd - Ladies,AW17N,Hand Flat,M,12,617,95,3,56,9,20,3,107,90,Normal Wash Supersoft,28,111,72,111,350,-17,-61,239,3,N
180091301,87X8210B,El Corte Ingles - Gents,AW18N,Automatic,S,12,"4,700",89,2,48,37,1,5,304,273,Merino Anticockle,35,334,259,344,485,-11,-52,150,2,N
190027602,DBL LYR MICRO STP CARDI,Hackett London Menswear Company Gents,SS19N,Automatic,C,14,390,89,5,116,62,18,5,489,425,Normal Wash Soft,28,548,351,548,"1,509",-8,-124,960,5,N
180090903,MERINO MOCK NECK - 272,Joseph Abboud Gents,AW18N,Automatic,M,12,"11,530",89,2,42,37,0,5,460,290,Merino Anticockle,35,493,420,535,697,9,62,204,2,Y
180114401,FELTED STRIPE CREW NECK,Marks & Spencer Plc T30 Gents,AW18N,Hand Flat,M,5,"1,999",95,2,43,24,4,5,481,422,Felted Finish,40,350,272,350,501,-5,-25,152,2,N
180075901,6ZZM2E ZML,Armani Gents,AW18N,Hand Flat,M,7,"9,841",95,2,55,32,0,5,625,592,Normal Wash Std,28,211,145,251,389,10,39,178,2,Y
180075701,6ZZM1W,Armani Gents,AW18N,Automatic,M,7,"3,165",89,2,63,39,9,5,668,645,Normal Wash Std,28,237,164,294,575,14,80,338,3,Y
180075401,6ZZM1V ZMK,Armani Gents,AW18N,Automatic,M,12,"11,350",89,2,68,30,0,5,341,322,Normal Wash Std,28,134,84,183,493,31,151,358,3,Y
180074101,6ZZM1G ZMH,Armani Gents,AW18N,Automatic,M,7,"3,788",89,2,45,26,0,5,522,500,Piece Dye Acrylic,70,200,115,246,467,21,97,267,3,Y
170000807,OLD ORDERS IN FMR,FMR-JULIAN,AW17N,Hand Flat,M,10,"19,349",95,1,69,44,9,5,235,208,Machine Wash TEC Std,68,230,158,277,423,2,9,193,2,Y
170000808,OLD ORDERS IN FMR,FMR-JULIAN,AW17N,Automatic,C,12,800,89,5,53,41,4,5,320,290,Normal Wash Soft,28,283,175,283,747,-12,-91,464,5,N
170000809,OLD ORDERS IN FMR,FMR-JULIAN,SS18N,Automatic,M,12,"4,016",89,2,44,36,0,5,317,286,Denim dye,130,128,47,128,293,-8,-23,165,2,N
170000810,OLD ORDERS IN FMR,FMR-JULIAN,SS18N,Automatic,M,12,"15,031",89,2,70,38,0,5,425,400,Denim dye,130,159,62,159,330,-12,-38,171,2,N
170000811,OLD ORDERS IN FMR,FMR-JULIAN,AW17N,Hand Flat,S,12,"96,980",95,1,69,31,0,5,343,323,Normal Wash Soft,28,115,78,115,235,-4,-9,120,1,N
170000812,OLD ORDERS IN FMR,FMR-JULIAN,AW17N,Hand Flat,S,12,104,95,3,80,33,20,5,320,320,Normal Wash Soft,28,184,121,184,621,-3,-21,437,3,N
170000813,OLD ORDERS IN FMR,FMR-JULIAN,AW18N,Hand Flat,S,12,104,95,3,49,39,20,3,220,220,Normal Wash Soft,28,142,84,142,562,9,53,420,4,Y
170000814,OLD ORDERS IN FMR,FMR-JULIAN,AW18N,Hand Flat,S,12,167,95,3,69,31,0,5,311,309,Normal Wash Soft,28,169,119,169,503,-3,-14,334,3,N
180102001,FMR QUOTAT,FMR-BANGLA,AW18N,Hand Flat,S,7,"48,538",95,1,44,25,4,5,350,315,Normal Wash Supersoft,15,214,161,221,310,7,22,96,1,Y
180090901,MERINO MOCK NECK - 272,Joseph Abboud Gents,AW18N,Automatic,M,12,"24,470",89,2,40,37,0,5,326,290,Merino Anticockle,35,350,288,388,540,10,52,190,2,Y
180037602,FA18JA68-236A,The Men's Wearhouse  Inc. Gents,AW18N,Automatic,M,12,79,89,3,77,39,0,6,600,400,Merino Anticockle,35,632,547,679,997,-2,-20,366,3,N
180093701,MERINO L/S POLO - 249,Joseph Abboud Gents,AW18N,Automatic,M,12,800,89,5,44,21,15,6,391,308,Merino Anticockle,35,493,393,536,781,-20,-158,288,3,N
180093601,MERINO PULLOVER VEST-273,Joseph Abboud Gents,AW18N,Automatic,M,12,"5,000",89,2,33,45,0,4,214,186,Merino Anticockle,35,251,197,286,393,-10,-41,143,2,N
180093501,MERINO QUARTER ZIP - 276,Joseph Abboud Gents,AW18N,Automatic,M,12,"7,000",89,2,47,41,10,6,341,304,Merino Anticockle,35,406,303,446,600,-4,-24,194,2,N
180093401,MERINO TURTLENECK - 275,Joseph Abboud Gents,AW18N,Automatic,M,12,800,89,5,41,38,0,6,342,296,Merino Anticockle,35,374,310,416,697,-18,-125,323,4,N
180092301,MERINO POINTED VEST,Joseph Abboud Gents,AW18N,Automatic,M,12,"1,200",89,5,70,79,10,4,375,340,Merino Anticockle,35,465,346,510,864,-52,-448,399,2,N
190027201,TEXTURED COTTON FULL ZIP,John Lewis Overseas Plc Gents,SS19N,Automatic,C,12,"1,667",89,3,68,59,12,5,424,395,Heavy Garment Wash,40,299,191,299,668,-17,-112,369,3,N
190027301,COT/CASH TEXTURE ZIP NECK,John Lewis Overseas Plc Gents,SS19N,Automatic,C,12,"3,512",89,2,72,49,8,5,373,348,Heavy Garment Wash,40,256,167,256,602,3,20,346,3,Y
180073102,CARL,Gentleman Farmer Gents,AW18N,Hand Flat,S,7,"3,001",95,2,63,23,1,5,360,345,Felted Finish,40,262,191,283,417,0,0,156,2,Y
180061801,CHRISTOPHE,Gentleman Farmer Gents,AW18N,Hand Flat,S,10,"2,040",95,2,56,34,9,5,390,382,Normal Wash Soft,15,149,88,170,320,-11,-37,171,2,N
180061601,COLIN,Gentleman Farmer Gents,AW18N,Hand Flat,S,12,"3,001",95,2,72,39,1,5,255,247,Normal Wash Std,15,95,54,116,293,5,15,198,2,Y
180061201,HIBOUX,Gentleman Farmer Gents,AW18N,Automatic,S,7,"3,001",89,2,41,33,9,5,460,453,Piece Dye Acrylic,70,220,113,241,422,4,16,202,2,Y
180107001,COT CASH P,Stockomani - Gents,AW18S,Hand Flat,S,12,"3,100",95,2,68,32,1,5,390,384,Normal Wash Soft,15,192,145,192,368,3,11,176,2,Y
180115901,MR BLUE,Mr Blue Gents,AW18N,Automatic,M,12,"1,700",89,2,45,30,0,5,271,256,Piece Dye Cotton,130,118,50,131,261,-13,-35,143,2,N
180115902,MR BLUE,Mr Blue Gents,AW18N,Automatic,M,12,400,89,2,45,30,0,5,271,256,Normal Wash Soft,28,113,74,127,261,-12,-30,148,2,N
180115801,MR BLUE,Mr Blue Gents,SS18N,Automatic,M,12,800,89,2,45,40,12,5,292,292,Piece Dye Cotton,130,150,54,166,301,-21,-64,150,1,N
180075601,6ZZE1A ZMG,Armani Gents,AW18N,Automatic,M,12,"2,168",89,3,89,59,15,5,666,640,Normal Wash Std,28,252,150,322,728,-8,-55,476,3,N
180075602,6ZZE1A ZMG,Armani Gents,AW18N,Automatic,M,12,607,89,3,89,59,15,5,666,640,Normal Wash Std,28,319,199,425,693,-23,-157,373,2,N
180107101,T51.495,Woolworths Classic Collection Knitwear Gents,AW18S,Hand Flat,S,12,"6,000",95,1,83,30,0,5,267,,Piece Dye Cotton,130,118,51,118,294,11,32,175,1,Y
180106901,T51.519,Woolworths Classic Collection Knitwear Gents,AW18S,Automatic,S,12,"3,020",89,2,42,30,0,5,300,282,Normal Wash Std,28,101,60,101,326,19,63,225,3,Y
180113801,87X8400,El Corte Ingles - Gents,AW18N,Automatic,M,3.5,"1,700",89,3,49,32,0,5,694,620,Vintage Dye,120,576,400,591,736,-15,-109,160,2,N
180113901,87X8007,El Corte Ingles - Gents,AW18N,Automatic,M,5,"2,600",89,3,43,45,13,5,582,520,Normal Wash Soft,28,365,253,379,678,2,15,314,3,Y
180101201,XMAS CHAMALEON  CNK,John Lewis Overseas Plc Gents,AW18N,Automatic,C,7,"1,862",89,3,42,30,0,5,435,395,Normal Wash Supersoft,28,354,289,354,549,-11,-61,195,3,N
180103501,COT MOSS STITCH SHAWL CAR,John Lewis Overseas Plc Gents,AW18N,Automatic,C,5,"1,889",89,3,58,35,6,5,762,730,Normal Wash Std,28,304,225,304,672,3,20,368,4,Y
180086101,LESTONITA,Celio Paris Gents,AW18N,Automatic,S,12,"3,042",89,2,56,33,3,5,295,295,Acid Wash(available only in Bdesh),140,112,39,112,358,22,77,246,3,Y
180028903,180476A1,Marks & Spencer Plc T30 Gents,AW18N,Automatic,M,10,"17,244",89,2,58,34,8,5,420,385,Normal Wash Std,15,158,97,158,429,25,106,272,3,Y
180035702,4521B,Marks & Spencer Plc T30 Gents,SS18N,Automatic,M,14,"4,500",89,2,51,34,0,5,242,216,Heavy Garment Wash,40,187,125,187,324,-19,-63,138,2,N
180027802,IPIKIADE M,Devred SAS Gents,AW18N,Automatic,S,14,"34,600",89,2,55,34,0,5,240,224,Merino Anticockle,35,312,260,312,468,2,8,157,2,Y
190027801,BROKEN RIB STITCH ZIP NK,John Lewis Overseas Plc Gents,SS19N,Automatic,C,5,"1,267",89,5,48,40,8,5,811,766,Normal Wash Soft,28,375,266,375,665,-39,-260,291,3,N
180102045,FMR QUOTAT,Betty Barclay Gents,AW18N,Automatic,S,10,"5,582",89,2,51,59,0,9,509,463,Normal Wash Soft,15,186,137,186,435,8,33,249,2,Y
180102046,FMR QUOTAT,Betty Barclay Gents,AW18N,Automatic,S,10,"19,580",89,2,40,33,0,5,463,421,Normal Wash Soft,15,172,120,172,332,11,36,160,2,Y
180102047,FMR QUOTAT,Betty Barclay Gents,AW18N,Automatic,S,12,"8,136",89,2,74,54,3,6,409,372,Normal Wash Soft,15,210,114,210,465,6,28,254,2,Y
180102056,FMR QUOTAT,Betty Barclay Gents,AW18N,Automatic,S,10,"1,500",89,2,124,29,3,5,484,440,Normal Wash Soft,15,194,128,194,531,-9,-49,337,2,N
180112501,66 GUIRLAN,Monoprix Exploitation Boys,AW18N,Automatic,S,5,"3,385",89,2,30,29,0,5,205,245,Felted Finish,40,189,145,197,388,16,63,199,3,Y
180102801,ARGYLE DESIGN,Marks & Spencer Plc T30 Gents,AW18N,Automatic,M,10,"3,769",89,2,57,24,0,5,346,320,Machine Wash TEC Supersoft,68,362,281,362,597,7,43,235,3,Y
180077302,RONDYED,Bonobo Gents,AW18N,Automatic,S,12,"3,296",89,2,67,22,0,5,345,342,Denim dye,130,139,53,139,357,5,17,218,2,Y
180098701,DEVREDAW18,Devred SAS Gents,AW18N,Automatic,S,5,"9,000",89,2,43,23,14,5,750,680,Normal Wash Std,28,246,149,246,479,15,71,233,3,Y
180088601,CASHMERE G,Stockomani - Gents,AW18N,Hand Flat,S,12,"10,080",95,1,72,28,1,5,249,240,Cashmere Wash,40,892,789,892,"1,211",15,177,319,3,Y
180093202,YAK STITCH,John Lewis Overseas Plc Gents,AW18N,Automatic,C,7,"1,450",89,5,45,32,0,5,415,377,Heavy Garment Wash,40,640,559,640,745,-45,-339,105,1,N
190027601,DBL LYR MICRO STP CARDI,Hackett London Menswear Company Gents,SS19N,Automatic,C,14,500,89,5,146,45,24,5,425,425,Normal Wash Soft,28,385,211,385,"3,436",54,"1,856","3,051",14,Y
180117601,T20.651,Woolworths (Pty) Ltd Mainstream Ladies,AW18S,Hand Flat,M,12,"6,000",95,2,87,31,0,5,261,256,Piece Dye Acrylic,70,103,49,103,260,-24,-63,157,1,N
180113101,S26994,Sandro Ladies,AW18N,Automatic,M,14,"2,780",89,3,50,40,0,5,305,305,Merino Anticockle,35,248,192,248,537,-2,-10,289,3,N
180102057,FMR QUOTAT,Betty Barclay Gents,AW18N,Automatic,S,12,"1,950",89,2,60,35,0,5,242,220,Normal Wash Soft,15,105,64,105,322,-7,-22,217,2,N
180098702,DEVREDAW18,Devred SAS Gents,AW18N,Automatic,S,5,"4,500",89,2,43,23,5,14,750,680,Normal Wash Std,28,247,150,247,479,15,70,232,3,Y
180069401,820091,Verweij Fashion BV Gents,AW18N,Hand Flat,M,10,"1,017",95,3,56,33,0,5,356,340,Heavy Garment Wash,40,288,226,288,456,-34,-157,168,2,N
180070101,820071,Verweij Fashion BV Gents,AW18N,Automatic,M,12,"8,688",89,2,41,34,5,5,285,266,Machine Wash Std,64,283,210,283,510,11,55,227,3,Y
180070301,820096,Verweij Fashion BV Gents,AW18N,Hand Flat,M,10,793,95,3,66,59,29,5,420,410,Heavy Garment Wash,40,398,272,398,706,-18,-130,308,2,N
180070601,820092,Verweij Fashion BV Gents,AW18N,Hand Flat,M,10,"2,109",95,2,55,28,0,5,362,345,Heavy Garment Wash,40,293,231,293,470,-6,-30,177,2,N
180117001,82 8449-20S,Verweij Fashion BV Gents,AW18N,Hand Flat,M,10,520,95,3,51,40,16,5,413,386,Heavy Garment Wash,40,340,265,340,660,-10,-68,320,3,N
180117401,82 0036-52,Verweij Fashion BV Gents,AW18N,Automatic,M,12,"1,350",89,5,47,40,7,5,271,261,Merino Anticockle,35,166,115,166,405,-68,-277,239,2,N
170000816,OLD ORDERS IN FMR,FMR-JULIAN,AW18N,Hand Flat,S,12,182,95,3,62,33,0,5,205,220,Normal Wash Soft,28,122,78,122,462,1,6,339,3,Y
180109701,18IM253-M210052043,Decenio-Mediterrano Gents,AW18N,Automatic,M,12,"3,100",89,2,35,37,1,5,268,250,Machine Wash Supersoft,64,257,191,284,510,16,80,253,3,Y
180062602,HS-UCAMNEW,Stockomani - Gents,AW18N,Hand Flat,S,7,"3,040",95,2,66,28,7,5,385,,Normal Wash Std,15,266,207,266,450,4,19,184,2,Y
180116701,T519- LY G,Woolworths (Pty) Ltd Studio Gents,AW18S,Automatic,S,12,"3,001",89,2,62,35,4,5,265,,Normal Wash Std,28,120,77,120,383,10,38,264,2,Y
190016202,MICRO STITCH CREW,Hackett London Menswear Company Gents,SS19N,Automatic,C,12,32,89,5,66,38,0,5,325,325,Denim dye,130,153,54,153,"1,660",55,914,"1,507",14,Y
180117501,82 0035-52,Verweij Fashion BV Gents,AW18N,Automatic,M,12,"1,050",89,5,43,40,7,5,270,260,Merino Anticockle,35,167,117,167,405,-63,-257,238,3,N
180112502,66 GUIRLAN,Monoprix Exploitation Boys,AW18N,Automatic,S,5,"3,385",89,2,30,29,0,5,205,245,Felted Finish,40,178,135,186,388,19,74,210,3,Y
180096301,CLASSLAMB,Bonobo Gents,AW18N,Hand Flat,S,7,"4,568",95,2,52,27,0,5,385,344,Felted Finish,40,285,221,285,469,8,39,184,2,Y
180071801,H18 145,Devred SAS Gents,AW18N,Automatic,S,7,"8,600",89,2,47,32,18,5,314,295,Felted Finish,40,209,159,209,415,3,13,206,2,Y
180071901,H18 146,Devred SAS Gents,AW18N,Automatic,S,7,"15,900",89,2,55,28,5,7,320,302,Felted Finish,40,210,160,210,383,2,8,173,2,Y
180063801,H18 136,Devred SAS Gents,AW18N,Automatic,S,7,"8,950",89,2,43,21,0,5,425,413,Piece Dye Acrylic,70,157,91,157,336,14,48,178,3,Y
180062802,H18 135IPA,Devred SAS Gents,AW18N,Automatic,S,5,"15,800",89,2,48,39,4,5,822,729,Normal Wash Soft,28,298,175,298,517,10,53,219,2,Y
180072801,H18 150,Devred SAS Gents,AW18N,Automatic,S,12,"3,100",89,2,44,38,4,5,250,220,Merino Wash,35,164,123,164,350,8,29,186,2,Y
180061301,H18 127,Devred SAS Gents,AW18N,Automatic,S,7,"1,501",89,2,42,35,0,5,530,513,Normal Wash Std,15,312,265,312,527,5,26,215,3,Y
180077501,H18 153,Devred SAS Gents,AW18N,Hand Flat,S,5,"4,700",95,2,49,38,4,5,500,470,Normal Wash Dry,15,150,104,150,364,18,65,214,2,Y
170001101,FMR JULIAN OLD SYSTEM,Marks & Spencer Plc T30 Gents,AW17N,Hand Flat,M,10,"120,000",95,1,59,18,0,4,324,296,Machine Wash TEC Supersoft,68,310,247,310,432,4,16,121,2,Y
170001102,FMR JULIAN OLD SYSTEM,Marks & Spencer Plc T30 Gents,AW17N,Hand Flat,M,10,"120,000",95,1,56,17,0,5,316,294,Machine Wash TEC Supersoft,68,305,241,305,434,6,27,129,2,Y
170001103,FMR JULIAN OLD SYSTEM,Marks & Spencer Plc T30 Gents,AW17N,Hand Flat,M,7,"38,000",95,1,59,17,15,5,423,392,Machine Wash TEC Supersoft,68,350,266,350,498,4,22,147,2,Y
